transcript_id	GO	description	pvalue	qvalue
ENSG00000226197_ENST00000664438_trans1	GO:0050896	response to stimulus	5.69e-43	9.23e-39
ENSG00000226197_ENST00000664438_trans1	GO:0065007	biological regulation	4.84e-39	3.92e-35
ENSG00000226197_ENST00000664438_trans1	GO:0050789	regulation of biological process	6.26e-37	3.38e-33
ENSG00000226197_ENST00000664438_trans1	GO:0008150	biological_process	8.05e-35	3.26e-31
ENSG00000226197_ENST00000664438_trans1	GO:0009987	cellular process	1.08e-34	3.51e-31
ENSG00000226197_ENST00000664438_trans1	GO:0051716	cellular response to stimulus	1.85e-34	5.00e-31
ENSG00000226197_ENST00000664438_trans1	GO:0007283	spermatogenesis	4.91e-34	1.14e-30
ENSG00000226197_ENST00000664438_trans1	GO:0048232	male gamete generation	3.44e-33	6.97e-30
ENSG00000226197_ENST00000664438_trans1	GO:0050794	regulation of cellular process	5.46e-33	9.83e-30
ENSG00000226197_ENST00000664438_trans1	GO:0019953	sexual reproduction	2.54e-32	4.11e-29
ENSG00000226197_ENST00000664438_trans1	GO:0007154	cell communication	1.16e-30	1.71e-27
ENSG00000226197_ENST00000664438_trans1	GO:0023052	signaling	2.02e-30	2.73e-27
ENSG00000226197_ENST00000664438_trans1	GO:0044237	cellular metabolic process	1.60e-28	1.99e-25
ENSG00000226197_ENST00000664438_trans1	GO:0071704	organic substance metabolic process	2.90e-28	3.35e-25
ENSG00000226197_ENST00000664438_trans1	GO:0007276	gamete generation	9.94e-28	1.07e-24
ENSG00000226197_ENST00000664438_trans1	GO:0008152	metabolic process	1.34e-27	1.36e-24
ENSG00000226197_ENST00000664438_trans1	GO:0007165	signal transduction	1.86e-27	1.77e-24
ENSG00000226197_ENST00000664438_trans1	GO:0032504	multicellular organism reproduction	4.94e-27	4.38e-24
ENSG00000226197_ENST00000664438_trans1	GO:0044703	multi-organism reproductive process	5.14e-27	4.38e-24
ENSG00000226197_ENST00000664438_trans1	GO:0048609	multicellular organismal reproductive process	5.08e-26	4.12e-23
ENSG00000226197_ENST00000664438_trans1	GO:0044238	primary metabolic process	2.38e-25	1.84e-22
ENSG00000226197_ENST00000664438_trans1	GO:0006807	nitrogen compound metabolic process	5.56e-25	4.10e-22
ENSG00000226197_ENST00000664438_trans1	GO:0042221	response to chemical	7.26e-25	5.11e-22
ENSG00000226197_ENST00000664438_trans1	GO:0010033	response to organic substance	4.64e-22	3.13e-19
ENSG00000226197_ENST00000664438_trans1	GO:0065008	regulation of biological quality	6.23e-22	4.04e-19
ENSG00000226197_ENST00000664438_trans1	GO:0043170	macromolecule metabolic process	7.37e-22	4.28e-19
ENSG00000226197_ENST00000664438_trans1	GO:0048518	positive regulation of biological process	7.08e-22	4.28e-19
ENSG00000226197_ENST00000664438_trans1	GO:0070887	cellular response to chemical stimulus	7.40e-22	4.28e-19
ENSG00000226197_ENST00000664438_trans1	GO:0048731	system development	8.80e-22	4.92e-19
ENSG00000226197_ENST00000664438_trans1	GO:0048583	regulation of response to stimulus	2.19e-20	1.18e-17
ENSG00000226197_ENST00000664438_trans1	GO:0022414	reproductive process	3.12e-20	1.63e-17
ENSG00000226197_ENST00000664438_trans1	GO:0000003	reproduction	3.54e-20	1.79e-17
ENSG00000226197_ENST00000664438_trans1	GO:0044260	cellular macromolecule metabolic process	6.83e-20	3.35e-17
ENSG00000226197_ENST00000664438_trans1	GO:0048519	negative regulation of biological process	8.28e-20	3.95e-17
ENSG00000226197_ENST00000664438_trans1	GO:1901564	organonitrogen compound metabolic process	1.61e-19	7.44e-17
ENSG00000226197_ENST00000664438_trans1	GO:0007166	cell surface receptor signaling pathway	4.10e-19	1.84e-16
ENSG00000226197_ENST00000664438_trans1	GO:0051239	regulation of multicellular organismal process	4.79e-19	2.10e-16
ENSG00000226197_ENST00000664438_trans1	GO:0023051	regulation of signaling	1.08e-18	4.62e-16
ENSG00000226197_ENST00000664438_trans1	GO:0071310	cellular response to organic substance	1.51e-18	6.28e-16
ENSG00000226197_ENST00000664438_trans1	GO:0009058	biosynthetic process	2.67e-18	1.05e-15
ENSG00000226197_ENST00000664438_trans1	GO:0010646	regulation of cell communication	2.60e-18	1.05e-15
ENSG00000226197_ENST00000664438_trans1	GO:0048522	positive regulation of cellular process	2.94e-18	1.14e-15
ENSG00000226197_ENST00000664438_trans1	GO:1901576	organic substance biosynthetic process	9.56e-18	3.60e-15
ENSG00000226197_ENST00000664438_trans1	GO:0044249	cellular biosynthetic process	1.82e-17	6.72e-15
ENSG00000226197_ENST00000664438_trans1	GO:0006810	transport	7.52e-17	2.71e-14
ENSG00000226197_ENST00000664438_trans1	GO:0051234	establishment of localization	8.51e-17	3.00e-14
ENSG00000226197_ENST00000664438_trans1	GO:0019222	regulation of metabolic process	9.04e-16	3.11e-13
ENSG00000226197_ENST00000664438_trans1	GO:0034641	cellular nitrogen compound metabolic process	9.20e-16	3.11e-13
ENSG00000226197_ENST00000664438_trans1	GO:0010467	gene expression	3.55e-15	1.17e-12
ENSG00000226197_ENST00000664438_trans1	GO:0009966	regulation of signal transduction	4.84e-15	1.57e-12
ENSG00000226197_ENST00000664438_trans1	GO:0048523	negative regulation of cellular process	9.05e-15	2.88e-12
ENSG00000226197_ENST00000664438_trans1	GO:0051179	localization	2.08e-14	6.49e-12
ENSG00000226197_ENST00000664438_trans1	GO:0044267	cellular protein metabolic process	2.39e-14	7.31e-12
ENSG00000226197_ENST00000664438_trans1	GO:0034645	cellular macromolecule biosynthetic process	2.54e-14	7.62e-12
ENSG00000226197_ENST00000664438_trans1	GO:0060255	regulation of macromolecule metabolic process	3.41e-14	1.01e-11
ENSG00000226197_ENST00000664438_trans1	GO:0006950	response to stress	3.91e-14	1.13e-11
ENSG00000226197_ENST00000664438_trans1	GO:1901360	organic cyclic compound metabolic process	5.61e-14	1.60e-11
ENSG00000226197_ENST00000664438_trans1	GO:0009653	anatomical structure morphogenesis	7.84e-14	2.19e-11
ENSG00000226197_ENST00000664438_trans1	GO:0019538	protein metabolic process	9.44e-14	2.59e-11
ENSG00000226197_ENST00000664438_trans1	GO:0006725	cellular aromatic compound metabolic process	1.10e-13	2.97e-11
ENSG00000226197_ENST00000664438_trans1	GO:0008219	cell death	1.53e-13	4.07e-11
ENSG00000226197_ENST00000664438_trans1	GO:0046483	heterocycle metabolic process	2.30e-13	6.01e-11
ENSG00000226197_ENST00000664438_trans1	GO:0007338	single fertilization	2.80e-13	7.19e-11
ENSG00000226197_ENST00000664438_trans1	GO:0035556	intracellular signal transduction	3.88e-13	9.82e-11
ENSG00000226197_ENST00000664438_trans1	GO:0009059	macromolecule biosynthetic process	4.75e-13	1.18e-10
ENSG00000226197_ENST00000664438_trans1	GO:2000026	regulation of multicellular organismal development	5.19e-13	1.27e-10
ENSG00000226197_ENST00000664438_trans1	GO:0006139	nucleobase-containing compound metabolic process	8.53e-13	2.05e-10
ENSG00000226197_ENST00000664438_trans1	GO:0009056	catabolic process	8.60e-13	2.05e-10
ENSG00000226197_ENST00000664438_trans1	GO:0048513	animal organ development	1.00e-12	2.35e-10
ENSG00000226197_ENST00000664438_trans1	GO:0050793	regulation of developmental process	1.01e-12	2.35e-10
ENSG00000226197_ENST00000664438_trans1	GO:0009893	positive regulation of metabolic process	1.40e-12	3.19e-10
ENSG00000226197_ENST00000664438_trans1	GO:0012501	programmed cell death	1.73e-12	3.90e-10
