transcript_id	GO	description	pvalue	qvalue
ENSG00000226197_ENST00000664438_trans1	GO:0003674	molecular_function	8.64e-25	4.02e-21
ENSG00000226197_ENST00000664438_trans1	GO:0005488	binding	3.13e-21	7.28e-18
ENSG00000226197_ENST00000664438_trans1	GO:0043167	ion binding	8.12e-16	1.26e-12
ENSG00000226197_ENST00000664438_trans1	GO:0097159	organic cyclic compound binding	7.53e-13	8.76e-10
ENSG00000226197_ENST00000664438_trans1	GO:1901363	heterocyclic compound binding	1.35e-12	1.25e-09
ENSG00000226197_ENST00000664438_trans1	GO:0005515	protein binding	2.53e-12	1.97e-09
ENSG00000226197_ENST00000664438_trans1	GO:0003723	RNA binding	1.32e-10	8.78e-08
ENSG00000226197_ENST00000664438_trans1	GO:0019899	enzyme binding	1.58e-09	9.16e-07
ENSG00000226197_ENST00000664438_trans1	GO:0043169	cation binding	2.29e-09	1.18e-06
ENSG00000226197_ENST00000664438_trans1	GO:0003824	catalytic activity	2.80e-09	1.30e-06
ENSG00000226197_ENST00000664438_trans1	GO:0043168	anion binding	4.08e-09	1.73e-06
ENSG00000226197_ENST00000664438_trans1	GO:0046872	metal ion binding	8.08e-09	3.13e-06
ENSG00000226197_ENST00000664438_trans1	GO:0042802	identical protein binding	1.62e-08	5.81e-06
ENSG00000226197_ENST00000664438_trans1	GO:0005102	signaling receptor binding	1.80e-08	5.98e-06
ENSG00000226197_ENST00000664438_trans1	GO:0003676	nucleic acid binding	3.75e-08	1.16e-05
ENSG00000226197_ENST00000664438_trans1	GO:0036094	small molecule binding	1.64e-06	4.76e-04
ENSG00000226197_ENST00000664438_trans1	GO:0003796	lysozyme activity	6.55e-06	1.79e-03
ENSG00000226197_ENST00000664438_trans1	GO:0097367	carbohydrate derivative binding	1.11e-05	2.87e-03
ENSG00000226197_ENST00000664438_trans1	GO:0061783	peptidoglycan muralytic activity	2.38e-05	5.83e-03
ENSG00000226197_ENST00000664438_trans1	GO:0008144	drug binding	2.70e-05	6.27e-03
ENSG00000226197_ENST00000664438_trans1	GO:0000166	nucleotide binding	4.64e-05	9.82e-03
ENSG00000226197_ENST00000664438_trans1	GO:1901265	nucleoside phosphate binding	4.64e-05	9.82e-03
ENSG00000226197_ENST00000664438_trans1	GO:0050839	cell adhesion molecule binding	9.78e-05	1.98e-02
ENSG00000226197_ENST00000664438_trans1	GO:0016740	transferase activity	1.24e-04	2.41e-02
ENSG00000226197_ENST00000664438_trans1	GO:0032399	HECT domain binding	1.35e-04	2.51e-02
ENSG00000226197_ENST00000664438_trans1	GO:0098772	molecular function regulator	1.76e-04	3.16e-02
ENSG00000226197_ENST00000664438_trans1	GO:0008134	transcription factor binding	2.09e-04	3.61e-02
ENSG00000226197_ENST00000664438_trans1	GO:0038023	signaling receptor activity	2.32e-04	3.85e-02
ENSG00000226197_ENST00000664438_trans1	GO:0060089	molecular transducer activity	2.98e-04	4.78e-02
ENSG00000226197_ENST00000664438_trans1	GO:0017076	purine nucleotide binding	3.40e-04	5.11e-02
ENSG00000226197_ENST00000664438_trans1	GO:0032553	ribonucleotide binding	3.40e-04	5.11e-02
ENSG00000226197_ENST00000664438_trans1	GO:0030554	adenyl nucleotide binding	3.76e-04	5.31e-02
ENSG00000226197_ENST00000664438_trans1	GO:0032559	adenyl ribonucleotide binding	3.73e-04	5.31e-02
ENSG00000226197_ENST00000664438_trans1	GO:0032555	purine ribonucleotide binding	4.47e-04	6.12e-02
ENSG00000226197_ENST00000664438_trans1	GO:0005543	phospholipid binding	4.92e-04	6.54e-02
ENSG00000226197_ENST00000664438_trans1	GO:0019900	kinase binding	5.54e-04	7.17e-02
ENSG00000226197_ENST00000664438_trans1	GO:0005524	ATP binding	8.62e-04	1.08e-01
ENSG00000226197_ENST00000664438_trans1	GO:0035639	purine ribonucleoside triphosphate binding	9.79e-04	1.20e-01
ENSG00000226197_ENST00000664438_trans1	GO:0140098	catalytic activity, acting on RNA	1.10e-03	1.31e-01
ENSG00000226197_ENST00000664438_trans1	GO:0019901	protein kinase binding	2.14e-03	2.49e-01
ENSG00000226197_ENST00000664438_trans1	GO:0008289	lipid binding	2.43e-03	2.76e-01
ENSG00000226197_ENST00000664438_trans1	GO:0004888	transmembrane signaling receptor activity	2.89e-03	3.20e-01
ENSG00000226197_ENST00000664438_trans1	GO:0005215	transporter activity	3.09e-03	3.34e-01
ENSG00000226197_ENST00000664438_trans1	GO:0140096	catalytic activity, acting on a protein	3.34e-03	3.53e-01
ENSG00000226197_ENST00000664438_trans1	GO:0045296	cadherin binding	3.49e-03	3.61e-01
ENSG00000226197_ENST00000664438_trans1	GO:0044877	protein-containing complex binding	3.78e-03	3.82e-01
ENSG00000226197_ENST00000664438_trans1	GO:0003677	DNA binding	4.22e-03	4.18e-01
ENSG00000226197_ENST00000664438_trans1	GO:0046983	protein dimerization activity	4.38e-03	4.25e-01
ENSG00000226197_ENST00000664438_trans1	GO:0016462	pyrophosphatase activity	4.66e-03	4.29e-01
ENSG00000226197_ENST00000664438_trans1	GO:0016817	hydrolase activity, acting on acid anhydrides	4.70e-03	4.29e-01
ENSG00000226197_ENST00000664438_trans1	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	4.70e-03	4.29e-01
ENSG00000226197_ENST00000664438_trans1	GO:0043565	sequence-specific DNA binding	4.92e-03	4.40e-01
ENSG00000226197_ENST00000664438_trans1	GO:0048037	cofactor binding	5.09e-03	4.47e-01
ENSG00000226197_ENST00000664438_trans1	GO:0001067	regulatory region nucleic acid binding	5.92e-03	4.94e-01
ENSG00000226197_ENST00000664438_trans1	GO:0016772	transferase activity, transferring phosphorus-containing groups	5.94e-03	4.94e-01
ENSG00000226197_ENST00000664438_trans1	GO:0044212	transcription regulatory region DNA binding	5.93e-03	4.94e-01
ENSG00000226197_ENST00000664438_trans1	GO:1990837	sequence-specific double-stranded DNA binding	6.21e-03	5.07e-01
ENSG00000226197_ENST00000664438_trans1	GO:0042803	protein homodimerization activity	6.33e-03	5.08e-01
ENSG00000226197_ENST00000664438_trans1	GO:0016788	hydrolase activity, acting on ester bonds	6.51e-03	5.13e-01
ENSG00000226197_ENST00000664438_trans1	GO:0030246	carbohydrate binding	7.32e-03	5.68e-01
ENSG00000226197_ENST00000664438_trans1	GO:0017111	nucleoside-triphosphatase activity	8.19e-03	6.25e-01
ENSG00000226197_ENST00000664438_trans1	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	8.57e-03	6.43e-01
ENSG00000226197_ENST00000664438_trans1	GO:0001012	RNA polymerase II regulatory region DNA binding	8.75e-03	6.46e-01
